subject_id,group,covariate_X,target_Y,lag_steps,lag_ms,f_stat_residual,p_value_residual
sub-021,A,Fp1,P3,5,10,49.9932512090024,5.268708331451822e-38
sub-021,A,Fp1,P3,10,20,34.449755774017625,1.108104683710241e-44
sub-021,A,Fp1,P3,20,40,17.45370679055204,3.306171053181895e-39
sub-021,A,Fp1,P3,30,60,11.688412436058027,1.332862688931803e-34
sub-021,A,Fp1,P3,40,80,8.593979880195771,5.3521046077255474e-30
sub-021,A,Fp1,P3,50,100,6.927555874731026,8.850673638746599e-27
sub-021,A,P4,Fp2,5,10,36.59362093677725,1.682217182214329e-29
sub-021,A,P4,Fp2,10,20,32.819166717883036,5.014298158874684e-43
sub-021,A,P4,Fp2,20,40,24.17761054062954,6.416644510433664e-51
sub-021,A,P4,Fp2,30,60,20.421697497519936,7.421474036042518e-55
sub-021,A,P4,Fp2,40,80,17.26259930169359,9.765499246212992e-55
sub-021,A,P4,Fp2,50,100,15.048170759262835,1.3124976608642547e-53
sub-021,A,Fp2,P4,5,10,58.89686816465539,3.9608091460513705e-43
sub-021,A,Fp2,P4,10,20,50.75085243793161,2.4252419073645127e-59
sub-021,A,Fp2,P4,20,40,29.407590045929535,8.589738397934472e-59
sub-021,A,Fp2,P4,30,60,19.29699485130361,1.4210871945709948e-52
sub-021,A,Fp2,P4,40,80,17.303276831365658,7.827591889619623e-55
sub-021,A,Fp2,P4,50,100,13.966731874990577,1.2220621164364897e-50
sub-022,A,P3,Fp1,5,10,12.429380362287242,5.128125305153959e-11
sub-022,A,P3,Fp1,10,20,6.29332503934473,8.614924656875242e-09
sub-022,A,P3,Fp1,20,40,3.3416551059316855,3.3621768030549995e-06
sub-022,A,P3,Fp1,30,60,2.2586704541996045,0.0003167006372079693
sub-022,A,P3,Fp1,40,80,1.9181090249615738,0.0013362095430601642
sub-022,A,P3,Fp1,50,100,1.4966139346051288,0.023711882467421494
sub-022,A,Fp1,P3,5,10,4.448283749312906,0.0006261350035586118
sub-022,A,Fp1,P3,10,20,3.6256681158131765,0.0001393252569308171
sub-022,A,Fp1,P3,20,40,4.047958378862979,4.4016246786407425e-08
sub-022,A,Fp1,P3,30,60,4.069723701850034,1.6474256016169442e-10
sub-022,A,Fp1,P3,40,80,3.4902545787584516,5.241000674026793e-10
sub-022,A,Fp1,P3,50,100,2.8664853295168076,2.6301204517321796e-08
sub-022,A,P4,Fp2,5,10,5.956420817907008,2.7929739492392454e-05
sub-022,A,P4,Fp2,10,20,3.287775196735059,0.00045906651464538783
sub-022,A,P4,Fp2,20,40,1.6925376684703954,0.03358063881124425
sub-022,A,P4,Fp2,30,60,1.9352611254906407,0.0031917363635609324
sub-022,A,P4,Fp2,40,80,2.5831580264240706,3.413547241860937e-06
sub-022,A,P4,Fp2,50,100,3.869714321767046,3.936592723539747e-13
sub-022,A,Fp2,P4,5,10,1.404108215799826,0.22241237727720642
sub-022,A,Fp2,P4,10,20,1.1640391427473744,0.31461514180598515
sub-022,A,Fp2,P4,20,40,1.456701030694474,0.09539049772125542
sub-022,A,Fp2,P4,30,60,1.8301480703941453,0.00648211946313698
sub-022,A,Fp2,P4,40,80,1.6846019552451754,0.008653225567344967
sub-022,A,Fp2,P4,50,100,1.36104778449961,0.06525886029607626
sub-023,A,P3,Fp1,5,10,31.42848521776877,6.329348145128881e-26
sub-023,A,P3,Fp1,10,20,20.163558167502472,1.2643759124690322e-28
sub-023,A,P3,Fp1,20,40,12.197600782972303,2.0496846034276944e-28
sub-023,A,P3,Fp1,30,60,8.712041995003052,5.012779709181931e-26
sub-023,A,P3,Fp1,40,80,6.325189665709306,1.148828258037476e-21
sub-023,A,P3,Fp1,50,100,5.740617140995871,9.61921427016663e-22
sub-023,A,Fp1,P3,5,10,10.02073367492254,6.524347290502803e-09
sub-023,A,Fp1,P3,10,20,12.300429425999305,5.824445796072535e-18
sub-023,A,Fp1,P3,20,40,12.783910803876214,1.0539544612699791e-29
sub-023,A,Fp1,P3,30,60,12.506286972764785,8.760628650812556e-37
sub-023,A,Fp1,P3,40,80,9.361426104848046,1.3118119773714667e-32
sub-023,A,Fp1,P3,50,100,9.232340083211824,1.2822770191184258e-35
sub-023,A,P4,Fp2,5,10,37.06903603675114,8.04885126561537e-30
sub-023,A,P4,Fp2,10,20,29.787177333477732,7.741862763926212e-40
sub-023,A,P4,Fp2,20,40,24.467427516638498,2.2166750135037466e-51
sub-023,A,P4,Fp2,30,60,19.55904934981445,4.107971353088736e-53
sub-023,A,P4,Fp2,40,80,15.041507982938672,2.9708535115445856e-49
